bNum,geneName,replicate,genotype,time,intensity,batch
b0008,talB,A,wt,0,3253.623233289479,short
b0008,talB,A,wt,30,5937.193218735247,short
b0008,talB,A,wt,60,4696.905889060637,short
b0008,talB,A,wt,90,6047.652328692158,short
b0008,talB,A,wt,120,2174.2148425054943,short
b0008,talB,A,wt,150,1651.784437630651,short
b0008,talB,B,wt,0,2870.56964657378,short
b0008,talB,B,wt,30,6972.163999049804,short
b0008,talB,B,wt,60,5366.056034448746,short
b0008,talB,B,wt,90,3136.519180459055,short
b0008,talB,B,wt,120,1910.8752619590439,short
b0008,talB,B,wt,150,1486.1340028529503,short
b0008,talB,C,wt,0,3017.517853701239,short
b0008,talB,C,wt,30,4211.629975830718,short
b0008,talB,C,wt,60,4405.0047997219945,short
b0008,talB,C,wt,90,2339.513272933789,short
b0008,talB,C,wt,120,1767.898234826634,short
b0008,talB,C,wt,150,1509.2900039149558,short
b0008,talB,D,wt,0,2727.7603480716334,long
b0008,talB,D,wt,60,3979.3981951251126,long
b0008,talB,D,wt,120,2315.4384157777586,long
b0008,talB,D,wt,180,1001.8150299210843,long
b0008,talB,D,wt,240,567.7965059961276,long
b0008,talB,D,wt,300,8.940401214143279,long
b0008,talB,E,wt,0,2570.6795826116645,long
b0008,talB,E,wt,60,4568.902396423996,long
b0008,talB,E,wt,120,2133.216774666848,long
b0008,talB,E,wt,180,1001.5410580931726,long
b0008,talB,E,wt,240,623.4691820281286,long
b0008,talB,E,wt,300,365.30277286543725,long
b0008,talB,F,wt,0,2060.6964235333153,long
b0008,talB,F,wt,60,4844.24243976747,long
b0008,talB,F,wt,120,2298.671542621121,long
b0008,talB,F,wt,180,1123.6979014041128,long
b0008,talB,F,wt,240,530.3291335576316,long
b0008,talB,F,wt,300,183.50500731547044,long
b0009,mog,A,wt,0,446.1066445262492,short
b0009,mog,A,wt,30,611.232605837503,short
b0009,mog,A,wt,60,387.02877822138737,short
b0009,mog,A,wt,90,333.27763368665114,short
b0009,mog,A,wt,120,174.17697523706096,short
b0009,mog,A,wt,150,133.00600356130985,short
b0009,mog,B,wt,0,400.2693349874389,short
b0009,mog,B,wt,30,466.3092102123389,short
b0009,mog,B,wt,60,447.78653621797594,short
b0009,mog,B,wt,90,254.68227846078398,short
b0009,mog,B,wt,120,170.77630149666535,short
b0009,mog,B,wt,150,129.427321993812,short
b0009,mog,C,wt,0,423.43184472393193,short
b0009,mog,C,wt,30,380.06171785859476,short
b0009,mog,C,wt,60,326.252533328477,short
b0009,mog,C,wt,90,203.12190267432206,short
b0009,mog,C,wt,120,171.96931796420503,short
b0009,mog,C,wt,150,153.582791410335,short
b0009,mog,D,wt,0,424.2055901745452,long
b0009,mog,D,wt,60,399.6655210886803,long
b0009,mog,D,wt,120,170.49446324421066,long
b0009,mog,D,wt,180,439.8632088068363,long
b0009,mog,D,wt,240,45.259996719473264,long
b0009,mog,D,wt,300,6.7798355184544565,long
b0009,mog,E,wt,0,431.684693781595,long
b0009,mog,E,wt,60,304.1707228687058,long
b0009,mog,E,wt,120,148.36774889348408,long
b0009,mog,E,wt,180,32.884251750978365,long
b0009,mog,E,wt,240,72.46909478988859,long
b0009,mog,E,wt,300,94.5821016331307,long
b0009,mog,F,wt,0,344.2101309277242,long
b0009,mog,F,wt,60,337.4052668383975,long
b0009,mog,F,wt,120,167.98390429571558,long
b0009,mog,F,wt,180,116.60954272602092,long
b0009,mog,F,wt,240,83.68727149771975,long
b0009,mog,F,wt,300,54.695689143364554,long
b0019,nhaA,A,wt,0,533.9666739892641,short
b0019,nhaA,A,wt,30,287.4379504769896,short
b0019,nhaA,A,wt,60,285.5274375451957,short
b0019,nhaA,A,wt,90,423.55072142720417,short
b0019,nhaA,A,wt,120,549.0164032431022,short
b0019,nhaA,A,wt,150,646.2293859674074,short
b0019,nhaA,B,wt,0,531.9596291331734,short
b0019,nhaA,B,wt,30,392.1680314896987,short
b0019,nhaA,B,wt,60,371.8556294239261,short
b0019,nhaA,B,wt,90,571.4648439747075,short
