bNum,geneName,replicate,genotype,time,intensity,batch
b0007,yaaJ,A,wt,0,45.468234436457415,long
b0007,yaaJ,A,wt,90,78.60437720708823,long
b0007,yaaJ,A,wt,120,78.00609691188593,long
b0007,yaaJ,A,wt,180,90.49784120856505,long
b0007,yaaJ,A,wt,240,79.2609759080137,long
b0007,yaaJ,A,wt,300,76.12288795649059,long
b0007,yaaJ,B,wt,0,65.7272879218009,long
b0007,yaaJ,B,wt,90,56.85304979375671,long
b0007,yaaJ,B,wt,120,79.11002704449533,long
b0007,yaaJ,B,wt,180,85.27247776539221,long
b0007,yaaJ,B,wt,240,70.88333361288913,long
b0007,yaaJ,B,wt,300,46.533983646161815,long
b0007,yaaJ,C,wt,0,62.054651398581136,long
b0007,yaaJ,C,wt,90,66.47503671959932,long
b0007,yaaJ,C,wt,120,69.92628981619485,long
b0007,yaaJ,C,wt,180,86.49466369186356,long
b0007,yaaJ,C,wt,240,62.981125446464524,long
b0007,yaaJ,C,wt,300,49.76796827113178,long
b0007,yaaJ,D,wt,0,67.58732667485722,long
b0007,yaaJ,D,wt,90,84.82696240624156,long
b0007,yaaJ,D,wt,120,99.83261044053837,long
b0007,yaaJ,D,wt,180,122.45906448913249,long
b0007,yaaJ,D,wt,240,99.30361233039682,long
b0007,yaaJ,D,wt,300,76.03046707865391,long
b0007,yaaJ,E,wt,0,56.27738243181937,short
b0007,yaaJ,E,wt,30,74.43436182864541,short
b0007,yaaJ,E,wt,60,133.96119338623882,short
b0007,yaaJ,E,wt,90,66.93052388377265,short
b0007,yaaJ,E,wt,120,75.79922639890502,short
b0007,yaaJ,E,wt,150,93.0318465382422,short
b0007,yaaJ,F,wt,0,42.16960012249642,short
b0007,yaaJ,F,wt,30,61.23196412410666,short
b0007,yaaJ,F,wt,60,85.09036188937826,short
b0007,yaaJ,F,wt,90,75.20620933340751,short
b0007,yaaJ,F,wt,120,110.24132273639539,short
b0007,yaaJ,F,wt,150,66.91542100482975,short
b0007,yaaJ,G,wt,0,47.83900249378997,short
b0007,yaaJ,G,wt,30,68.5694936965243,short
b0007,yaaJ,G,wt,60,82.54058171709882,short
b0007,yaaJ,G,wt,90,91.94919366150168,short
b0007,yaaJ,G,wt,120,61.914125323811,short
b0007,yaaJ,G,wt,150,99.8919372716733,short
b0019,nhaA,A,wt,0,376.0235170255415,long
b0019,nhaA,A,wt,90,144.8066292998425,long
b0019,nhaA,A,wt,120,233.03776518713553,long
b0019,nhaA,A,wt,180,359.830171088936,long
b0019,nhaA,A,wt,240,346.3938742590485,long
b0019,nhaA,A,wt,300,264.33114992522417,long
b0019,nhaA,B,wt,0,380.5696974539122,long
b0019,nhaA,B,wt,90,182.9236453246412,long
b0019,nhaA,B,wt,120,230.16107674902503,long
b0019,nhaA,B,wt,180,380.51028182652135,long
b0019,nhaA,B,wt,240,315.82868870422067,long
