bNum,geneName,replicate,stress,genotype,time,intensity
b0005,yaaX,wt,OS,A,0,49.349367235474915
b0005,yaaX,wt,OS,A,30,72.064151850345
b0005,yaaX,wt,OS,A,60,40.48720262518865
b0005,yaaX,wt,OS,A,90,37.96340617671187
b0005,yaaX,wt,OS,A,120,54.65493895990967
b0005,yaaX,wt,OS,A,150,43.71473335960914
b0005,yaaX,wt,OS,C,0,13.582499138662351
b0005,yaaX,wt,OS,C,30,67.22096379413814
b0005,yaaX,wt,OS,C,60,31.74753746899764
b0005,yaaX,wt,OS,C,90,30.95738064747352
b0005,yaaX,wt,OS,C,120,64.01103165816131
b0005,yaaX,wt,OS,C,150,31.267111413306274
b0005,yaaX,wt,OS,D,0,48.99756098180017
b0005,yaaX,wt,OS,D,30,45.59947459877991
b0005,yaaX,wt,OS,D,60,47.48369176205343
b0005,yaaX,wt,OS,D,90,10.08341888023014
b0005,yaaX,wt,OS,D,120,34.55253310273028
b0005,yaaX,wt,OS,D,150,33.67382144965069
b0008,talB,wt,OS,A,0,2623.1930317168
b0008,talB,wt,OS,A,30,1319.8034667448899
b0008,talB,wt,OS,A,60,2186.3089417601873
b0008,talB,wt,OS,A,90,2840.4762835789775
b0008,talB,wt,OS,A,120,2513.2596534421955
b0008,talB,wt,OS,A,150,2399.788120982681
b0008,talB,wt,OS,C,0,2404.102347543236
b0008,talB,wt,OS,C,30,1431.8065288151424
b0008,talB,wt,OS,C,60,2751.9694674345756
b0008,talB,wt,OS,C,90,2362.435110660323
b0008,talB,wt,OS,C,120,2449.264211341225
b0008,talB,wt,OS,C,150,2345.033355997971
b0008,talB,wt,OS,D,0,2163.5286667288387
b0008,talB,wt,OS,D,30,1536.5394387124588
b0008,talB,wt,OS,D,60,1807.519704595191
b0008,talB,wt,OS,D,90,3478.779513679398
b0008,talB,wt,OS,D,120,2578.5832262014296
b0008,talB,wt,OS,D,150,2414.266590020608
b0014,dnaK,wt,OS,A,0,3487.355284640227
b0014,dnaK,wt,OS,A,30,5358.484434014938
b0014,dnaK,wt,OS,A,60,7698.3523848751565
b0014,dnaK,wt,OS,A,90,2097.4781912633307
b0014,dnaK,wt,OS,A,120,2489.836108173663
b0014,dnaK,wt,OS,A,150,3414.2714158453346
b0014,dnaK,wt,OS,C,0,3798.572259112571
b0014,dnaK,wt,OS,C,30,3610.6060177926447
b0014,dnaK,wt,OS,C,60,5275.511531128803
b0014,dnaK,wt,OS,C,90,1870.3417474515252
b0014,dnaK,wt,OS,C,120,4393.178172749597
b0014,dnaK,wt,OS,C,150,2606.8954140844107
b0014,dnaK,wt,OS,D,0,3126.298923423172
b0014,dnaK,wt,OS,D,30,7671.2973249126
