bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b0001,thrL,GeneID:944742,0.6698084397632391,0.42334260553108655,1,FALSE,FALSE,FALSE,NA,NA,NA
b0002,thrA,GeneID:945803,0.5571830259570139,0.02465970879267647,1,FALSE,FALSE,FALSE,NA,NA,NA
b0003,thrB,GeneID:947498,0.01221672007179409,0.9271102995467504,0.9037257474735017,FALSE,FALSE,FALSE,NA,NA,NA
b0004,thrC,GeneID:945198,0.08426904110834009,0.6768088122392709,1,FALSE,FALSE,FALSE,NA,NA,NA
b0005,yaaX,GeneID:944747,0.3062455799920373,2.035529323076653e-6,1,FALSE,TRUE,FALSE,NA,NA,NA
b0006,yaaA,GeneID:944749,0.6722601027884827,0.5502218477735631,1,FALSE,FALSE,FALSE,NA,NA,NA
b0007,yaaJ,GeneID:944745,0.06223761669302213,0.11728141301979252,0.00256293568153499,FALSE,FALSE,TRUE,NA,NA,NA
b0008,talB,GeneID:944748,2.864734252027572e-11,0.00572583945983056,1,TRUE,TRUE,FALSE,NA,NA,NA
b0009,mog,GeneID:944760,7.317232181589404e-5,0.11355005067020556,1,TRUE,FALSE,FALSE,NA,NA,NA
b0010,satP,GeneID:944792,0.2257415066075668,0.11368931861266562,1,FALSE,FALSE,FALSE,NA,NA,NA
b0011,yaaW,GeneID:944771,0.8399622720148853,0.4498086369043824,1,FALSE,FALSE,FALSE,NA,NA,NA
b0012,mbiA,GeneID:948295,0.9670407573268264,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0013,yaaI,GeneID:944751,0.9900245788787654,0.1208293725460188,0.9185219172154804,FALSE,FALSE,FALSE,NA,NA,NA
b0014,dnaK,GeneID:944750,0.01047643154532736,8.127390572224737e-8,0.6416296605975922,FALSE,TRUE,FALSE,NA,NA,NA
b0015,dnaJ,GeneID:944753,0.12782158405664548,5.0088039290760944e-5,1,FALSE,TRUE,FALSE,NA,NA,NA
b0016,insL1,GeneID:944754,0.7015974765917797,0.02624167979167747,0.8448070997203788,FALSE,FALSE,FALSE,NA,NA,NA
b0018,mokC,GeneID:944756,0.02377242058630004,NA,0.6254862610341613,FALSE,NA,FALSE,NA,NA,NA
b0019,nhaA,GeneID:944758,3.715858505810084e-27,9.680666231403658e-4,8.718360459338322e-18,TRUE,TRUE,TRUE,NA,NA,165.3378
b0020,nhaR,GeneID:944757,4.3202829196544296e-16,0.04444019345894965,6.484533197739172e-9,TRUE,FALSE,TRUE,NA,NA,NA
