"","geneName","value"
"1","accD",NA
"2","aceE",NA
"3","acnA",38.15935
"4","acrA",NA
"5","acrB",NA
"6","adhE",35.80872
"7","adhP",78.62537
"8","ahr",31.00589
"9","aldA",82.95938
"10","ampG",NA
"11","amyA",31.48136
"12","aphA",NA
"13","appY",NA
"14","araC",NA
"15","argG",NA
"16","argO",NA
"17","argQ",NA
"18","argZ",NA
"19","aroA",83.73816
"20","aroF",29.74856
"21","aroM",38.96111
"22","artI",31.00524
"23","artJ",77.72455
"24","artM",32.66971
"25","artP",24.7941
"26","asnA",NA
"27","asnB",NA
"28","aspA",NA
"29","aspC",55.37124
"30","atpA",NA
"31","atpB",NA
"32","atpC",NA
"33","atpD",NA
"34","atpE",NA
"35","atpH",NA
"36","bacA",NA
"37","bax",25.9506
"38","bcp",NA
"39","bcsE",NA
"40","bdm",25.95785
"41","betT",24.28709
"42","bfr",3.659316
"43","bolA",1.851909
"44","borD",NA
"45","bssS",11.32258
"46","btsR",NA
"47","btsS",NA
"48","btsT",46.01601
"49","btuD",30.35089
"50","btuE",54.43763
"51","cecR",31.42797
"52","cfa",16.59582
"53","chaA",NA
"54","chaC",16.90856
"55","chiP",NA
"56","clcA",NA
"57","clpB",40.92005
"58","cnoX",55.22014
"59","cpsB",NA
"60","cpsG",119.9908
"61","cra",NA
"62","crcB",94.24362
"63","cspD",NA
"64","csrD",40.97585
"65","cstA",NA
"66","curA",29.72601
"67","cyoA",NA
"68","cysD",3.612351
"69","cysQ",32.14958
"70","cysU",NA
"71","dacA",NA
"72","dacC",37.46522
"73","dadA",91.66404
"74","dapD",NA
"75","dbpA",NA
"76","dctA",95.59755
"77","dctR",NA
"78","degP",26.95007
"79","degQ",1.690789
"80","dgcM",49.90657
"81","dgcP",60.38581
"82","dgcQ",30.44338
"83","dhaK",51.86557
"84","dhaL",54.16781
"85","dinB",23.64348
"86","dinI",132.10818
"87","dkgA",29.28749
"88","dmlR",NA
"89","dnaA",NA
"90","dnaB",NA
"91","dnaG",NA
"92","dnaJ",NA
"93","dnaK",NA
"94","dosC",NA
"95","dosP",NA
"96","dpaA",NA
"97","dppF",NA
"98","dps",8.374728
"99","dsbA",NA
"100","dsbG",31.40824
"101","dsdA",NA
"102","dsrB",15.38946
"103","eco",NA
"104","elaB",36.92302
"105","epd",NA
"106","epmA",164.7792
"107","fabA",NA
"108","fabB",NA
"109","fadB",NA
"110","fadM",NA
"111","fadR",NA
"112","fbaA",NA
"113","fbaB",NA
"114","fbp",120.021
"115","fcl",115.7823
"116","fdhE",NA
"117","feaR",NA
"118","fimB",129.14064
"119","fklB",NA
"120","fkpA",NA
"121","frmA",NA
"122","frr",NA
"123","fruA",182.0076
"124","fruB",NA
"125","fruK",NA
"126","fucO",109.0093
"127","fucR",NA
"128","fumA",91.06962
"129","gabD",96.92442
"130","gadB",31.47535
"131","gadC",NA
"132","gadW",44.88264
"133","gadX",55.93338
"134","galE",3.328723
"135","galS",118.738
"136","galT",18.34732
"137","garP",128.2261
"138","gatA",25.41963
"139","gatB",24.72916
"140","gatD",34.05198
"141","gatY",NA
"142","gatZ",26.48448
"143","gcd",NA
"144","gcvA",NA
"145","gcvT",59.12817
"146","ggt",NA
"147","ghrB",56.73457
"148","glcA",NA
"149","glcB",NA
"150","glcC",NA
"151","glcD",NA
"152","glgB",22.7214
"153","glk",28.57415
"154","glnA",NA
"155","glnX",NA
"156","gloB",67.89164
"157","glpD",18.83194
"158","glpK",NA
"159","glpQ",74.40314
"160","glpT",110.2891
"161","glpX",56.38956
"162","glsA",NA
"163","gmd",119.9369
"164","gmk",NA
"165","gmm",96.84273
"166","groL",NA
"167","groS",NA
"168","gshA",30.36017
"169","hcaR",NA
"170","hcaT",NA
"171","hchA",5.659679
"172","hcxB",61.37169
"173","hdeA",46.08465
"174","hdeB",38.12553
"175","hdeD",34.45018
"176","hdhA",28.90107
"177","hemH",NA
"178","hflX",4.98933
"179","hfq",155.2173
"180","hslO",NA
"181","hslV",NA
"182","htpX",32.0659
"183","hupA",NA
"184","hupB",NA
"185","iclR",NA
"186","idi",NA
"187","igaA",25.47763
"188","ilvB",121.9363
"189","ilvN",101.4804
"190","insH2",NA
"191","iraD",11.98332
"192","kbp",16.70192
"193","kdgK",NA
"194","kdpA",NA
"195","kdpB",NA
"196","kgtP",NA
"197","ldcC",14.09945
"198","ldhA",NA
"199","ldtA",2.424988
"200","ldtD",23.63953
