"","geneName","value"
"1","aas",NA
"2","accC",181.7505
"3","accD",204.13234
"4","acnB",70.28785
"5","acpH",NA
"6","acpP",NA
"7","acrB",NA
"8","acrR",226.6263
"9","actP",62.97893
"10","actS",NA
"11","ada",271.199
"12","adeP",165.4133
"13","adhE",NA
"14","adhP",252.4481
"15","aes",NA
"16","agaR",NA
"17","ahpC",NA
"18","ahr",77.86697
"19","aidB",212.9851
"20","alaE",NA
"21","alaS",NA
"22","aldA",77.64652
"23","aldB",90.89015
"24","alr",224.75678
"25","amiA",221.15332
"26","amiB",NA
"27","amiD",200.7043
"28","amn",NA
"29","ampD",NA
"30","ampG",187.4879
"31","amyA",85.46351
"32","anmK",NA
"33","ansB",34.73243
"34","aphA",251.57078
"35","appA",227.7259
"36","appB",216.9074
"37","appC",220.4319
"38","appY",NA
"39","arcA",NA
"40","argG",104.9748
"41","arnA",NA
"42","arnB",130.2548
"43","arnD",NA
"44","aroB",NA
"45","aroC",NA
"46","aroG",NA
"47","aroL",NA
"48","aroM",NA
"49","artI",137.0807
"50","artJ",NA
"51","artM",NA
"52","artP",89.32146
"53","artQ",NA
"54","ascF",NA
"55","ascG",NA
"56","asd",NA
"57","aslB",NA
"58","asmA",NA
"59","asnA",102.0003
"60","asnB",NA
"61","asnS",NA
"62","asnT",212.9442
"63","aspA",269.02525
"64","aspC",262.77553
"65","aspS",227.76517
"66","atoC",NA
"67","atpA",222.20252
"68","atpB",217.62611
"69","atpC",232.41696
"70","atpE",225.33864
"71","atpF",220.93388
"72","atpG",233.53152
"73","atpH",219.46729
"74","atpI",181.2527
"75","avtA",219.59212
"76","bamA",NA
"77","bamB",NA
"78","bamC",NA
"79","bamD",NA
"80","bamE",NA
"81","barA",NA
"82","basS",NA
"83","bax",NA
"84","bcp",222.68872
"85","bcsC",69.09701
"86","bcsE",NA
"87","bcsG",135.6824
"88","betB",NA
"89","betI",NA
"90","bfd",NA
"91","bfr",86.75189
"92","bglG",NA
"93","bglX",NA
"94","bioH",221.62442
"95","bolA",139.1087
"96","borD",188.4989
"97","bssR",NA
"98","bssS",NA
"99","btuB",214.57198
"100","btuC",NA
"101","btuD",224.1744
"102","btuE",73.16742
"103","cbpA",217.5209
"104","cbpM",126.5787
"105","cbrC",NA
"106","ccp",NA
"107","cdsA",216.9105
"108","cecR",NA
"109","cfa",227.5666
"110","chaB",85.77079
"111","chaC",102.4621
"112","chbF",267.21889
"113","chbG",250.56399
"114","chiQ",NA
"115","cirA",157.6029
"116","citT",NA
"117","clcA",NA
"118","clpB",NA
"119","clpP",NA
"120","clpX",NA
"121","clsA",NA
"122","clsB",154.4553
"123","clsC",NA
"124","cmoM",231.20155
"125","cnu",NA
"126","coaA",181.2659
"127","cobB",NA
"128","cobT",NA
"129","cobU",NA
"130","cpdA",NA
"131","cpxP",NA
"132","cpxR",NA
"133","creA",NA
"134","creB",246.3482
"135","crr",NA
"136","csgA",214.0696
"137","cspA",210.5679
"138","cspB",288.5634
"139","cspD",62.42165
"140","cspE",166.2542
"141","cspG",204.7059
"142","csqR",NA
"143","csrA",NA
"144","cstA",77.31819
"145","cueR",NA
"146","curA",85.90681
"147","cutA",NA
"148","cyaA",NA
"149","cycA",NA
"150","cydC",NA
"151","cydD",235.15977
"152","cynR",NA
"153","cyoA",219.15883
"154","cyoD",237.86395
"155","cysB",NA
"156","cysE",NA
"157","cysQ",NA
"158","cysT",190.3893
"159","dacC",112.1041
"160","dadA",45.6978
"161","dadX",54.0529
"162","dapA",239.18273
"163","dapD",226.56167
"164","dbpA",NA
"165","dcd",NA
"166","dcm",201.55426
"167","dcp",NA
"168","dcrB",224.96777
"169","dctR",215.9572
"170","dcuS",228.20757
"171","ddlB",NA
"172","ddpA",213.0328
"173","ddpF",75.2907
"174","dedA",NA
"175","def",NA
"176","degP",NA
"177","deoA",219.5815
"178","deoB",NA
"179","deoD",NA
"180","deoR",NA
"181","der",NA
"182","dfp",226.04885
"183","dgcC",NA
"184","dgcF",NA
"185","dgcM",92.25695
"186","dgcP",NA
"187","dgcQ",136.6809
"188","dgcZ",NA
"189","dgt",NA
"190","diaA",NA
"191","dicA",NA
"192","dinD",NA
"193","dinF",177.2775
"194","dinG",237.8134
"195","djlA",NA
"196","dkgA",114.6538
"197","dld",97.85671
"198","dmsD",NA
"199","dnaG",NA
"200","dnaX",169.679
"201","dolP",250.84387
"202","dosC",185.945
"203","dosP",111.5162
"204","dppF",76.40702
"205","dps",146.73
"206","dsbB",168.3867
"207","dsbG",NA
"208","dsrB",284.0204
"209","dusA",159.0402
"210","dut",223.99225
"211","eco",NA
"212","ecpD",258.09301
"213","eda",234.15003
"214","efeO",178.1732
"215","elaB",97.83663
"216","emrK",152.0292
"217","eno",NA
"218","entC",154.3986
"219","entD",207.4168
"220","entE",NA
"221","entF",NA
"222","entH",NA
"223","entS",NA
"224","envC",176.2729
"225","eptA",NA
"226","eptB",NA
"227","erpA",NA
"228","essD",183.9783
"229","essQ",281.5614
"230","etk",285.3055
"231","eutC",NA
"232","evgA",NA
"233","fabB",242.71009
"234","fabR",224.58006
"235","fabY",NA
"236","fadA",41.52068
"237","fadB",48.32981
"238","fadE",NA
"239","fadK",266.80328
"240","fadM",NA
"241","fadR",229.48379
"242","fbaA",NA
"243","fbaB",101.2987
"244","fdhE",NA
"245","fdoG",NA
"246","fdoH",NA
"247","feaR",NA
"248","fepB",NA
"249","fepC",NA
"250","fepD",154.2036
"251","fes",209.7289
"252","ffh",NA
"253","fhlA",80.56918
"254","fhuA",332.4456
"255","fhuC",173.2386
"256","fhuD",150.492
"257","fhuF",NA
"258","fic",98.58503
"259","fimE",NA
"260","fkpA",198.6102
"261","fldB",212.82223
"262","flhD",212.82495
"263","fmt",NA
"264","fnr",NA
"265","fre",NA
"266","ftsI",NA
"267","ftsP",NA
"268","ftsW",NA
"269","ftsZ",NA
"270","fucK",NA
"271","fucP",NA
"272","fucR",NA
"273","fumA",63.74326
"274","fur",NA
"275","gabP",91.21278
"276","gadA",174.4419
"277","gadB",210.6147
"278","gadC",159.3359
"279","gadE",217.1772
"280","gadW",166.1426
"281","gadX",102.1901
"282","galR",NA
"283","galU",NA
"284","gapA",NA
"285","gatA",3.584848
"286","gatB",4.325655
"287","gatD",4.671619
"288","gatY",NA
"289","gatZ",NA
"290","gcd",NA
"291","gcl",219.1554
"292","gcvP",114.498
"293","gdhA",NA
"294","ggt",83.25575
"295","ghrA",NA
"296","ghrB",NA
"297","glaH",NA
"298","glcC",NA
"299","glgS",217.5138
"300","glmM",229.41207
"301","glmU",NA
"302","glnH",90.09983
"303","glnP",NA
"304","glnQ",NA
"305","glnS",204.99122
"306","gloA",NA
"307","gloC",NA
"308","glpB",23.7179
"309","glpD",NA
"310","glsA",219.0871
"311","gltA",74.44644
"312","gltI",NA
"313","gltP",184.6619
"314","gltT",227.4366
"315","gmhA",NA
"316","gntU",NA
"317","gpmA",NA
"318","gpr",49.71375
"319","gshA",228.7707
"320","gshB",NA
"321","hcaR",NA
"322","hcaT",NA
"323","hchA",135.3759
"324","hcxB",102.8054
"325","hdeA",213.3458
"326","hdeB",179.9243
"327","hdeD",205.3198
"328","hdhA",106.2185
"329","hemC",NA
"330","hemH",NA
"331","hfq",NA
"332","hinT",NA
"333","hisA",NA
"334","hisG",103.6672
"335","hisH",NA
"336","hisJ",NA
"337","hisL",NA
"338","hisM",NA
"339","hlyE",206.5696
"340","holA",NA
"341","hprS",NA
"342","hrpB",NA
"343","hsdR",NA
"344","hslJ",NA
"345","hslO",NA
"346","hslV",NA
"347","hspQ",222.1105
"348","htpX",NA
"349","hupA",212.26782
"350","hupB",247.24402
"351","hxpB",NA
"352","hybC",268.42929
"353","hybD",261.90295
"354","hybE",252.84303
"355","hybF",NA
"356","hybG",NA
"357","hypT",NA
"358","iadA",224.9927
"359","icd",NA
"360","iclR",NA
"361","idi",NA
"362","igaA",NA
"363","ihfA",NA
"364","ileS",NA
"365","ilvI",254.02659
"366","insG",NA
"367","insH6",238.27399
"368","insQ",NA
"369","intD",NA
"370","intZ",NA
"371","ispA",NA
"372","ispE",222.58136
"373","ispH",231.61567
"374","ispU",198.4336
"375","ivy",126.3393
"376","katE",99.3544
"377","kbl",264.86822
"378","kbp",224.6711
"379","kch",NA
"380","kdgT",NA
"381","kdsC",NA
"382","kdsD",NA
"383","kefB",NA
"384","kefC",134.396
"385","kefF",241.9621
"386","kefG",NA
"387","kgtP",NA
"388","lacI",NA
"389","lapA",NA
"390","lapB",NA
"391","ldcC",73.48953
"392","ldhA",NA
"393","ldtA",168.7051
"394","ldtD",129.8159
"395","ldtE",169.1649
"396","letA",NA
"397","letB",220.0949
"398","leuE",NA
"399","leuZ",200.17044
"400","lhgD",64.81253
"401","ligB",NA
"402","lipA",185.8159
"403","lit",NA
"404","lolC",222.78614
"405","lolD",NA
"406","lolE",NA
"407","lplA",265.84461
"408","lpoA",NA
"409","lpoB",NA
"410","lpp",NA
"411","lpxC",NA
"412","lpxL",NA
"413","lpxP",NA
"414","lrhA",189.3181
"415","lrp",NA
"416","lspA",219.94315
"417","ltaE",NA
"418","luxS",NA
"419","lysP",NA
"420","lysR",204.29225
"421","lysU",NA
"422","lyxK",267.43741
"423","malF",102.1449
"424","malT",268.193
"425","malY",255.60343
"426","manA",NA
"427","marC",NA
"428","matP",NA
"429","mazG",NA
"430","mcbA",138.5524
"431","mcbR",82.81439
"432","mcrB",211.98817
"433","mdfA",NA
"434","mdh",58.94672
"435","mdtA",NA
"436","mdtB",NA
"437","mdtF",122.0671
"438","mdtH",NA
"439","mdtJ",200.2205
"440","mdtL",NA
"441","menF",NA
"442","menI",136.1927
"443","mepK",NA
"444","metA",209.6995
"445","metH",NA
"446","metL",242.08838
"447","mfd",NA
"448","mhpR",93.78899
"449","micF",174.1874
"450","minC",NA
"451","minD",NA
"452","minE",267.15502
"453","mioC",176.1007
"454","mipA",210.4888
"455","mlrA",223.9248
"456","mltA",NA
"457","mltB",NA
"458","mltD",228.81504
"459","mnmG",192.1617
"460","mntH",287.0105
"461","moaA",NA
"462","mocA",85.59456
"463","modA",249.47493
"464","modB",NA
"465","modC",NA
"466","mog",NA
"467","mokB",NA
"468","mpl",213.38137
"469","mraY",251.55322
"470","mraZ",NA
"471","mrcB",NA
"472","mreD",NA
"473","mrr",241.83828
"474","mscL",NA
"475","mscS",NA
"476","msrB",NA
"477","msrP",226.386
"478","msyB",97.58025
"479","mtfA",36.30497
"480","mtn",NA
"481","mtr",110.3995
"482","mukB",NA
"483","mukE",NA
"484","mukF",NA
"485","murC",NA
"486","murD",NA
"487","murE",266.75662
"488","murF",270.20672
"489","murG",258.22781
"490","murI",222.32513
"491","murJ",176.847
"492","murP",259.68997
