"","geneName","value"
"1","acnB",NA
"2","ada",NA
"3","adhP",171.7991
"4","ahr",132.9655
"5","aidB",NA
"6","aldB",163.2602
"7","allB",163.9868
"8","amyA",149.4366
"9","arnC",111.7349
"10","arnT",NA
"11","aroM",NA
"12","artP",166.1914
"13","artQ",NA
"14","asnC",NA
"15","astA",225.5659
"16","astB",140.252
"17","astE",230.7932
"18","atpC",NA
"19","bcsC",NA
"20","bcsE",NA
"21","bfr",157.5376
"22","blc",114.1382
"23","bolA",165.1053
"24","btuD",134.4754
"25","btuE",163.8089
"26","cbpA",NA
"27","cbpM",NA
"28","cecR",NA
"29","cfa",NA
"30","chaB",188.1181
"31","clcA",NA
"32","clsB",NA
"33","csgA",NA
"34","csgD",NA
"35","curA",138.7187
"36","cyoE",NA
"37","dacC",164.7892
"38","dgcC",NA
"39","dgcM",130.4229
"40","dgcQ",123.442
"41","dkgA",124.0883
"42","dppA",101.0531
"43","dppB",238.8873
"44","dppC",182.5064
"45","dppD",146.8104
"46","dppF",151.0921
"47","dps",150.7643
"48","dsbG",NA
"49","dsrB",127.0155
"50","elaA",66.58864
"51","elaB",132.2468
"52","etk",NA
"53","fadM",165.0407
"54","fbaB",185.4036
"55","fcl",NA
"56","fhlA",NA
"57","fic",114.297
"58","flu",NA
"59","gabP",NA
"60","gabT",174.9296
"61","gadA",NA
"62","gadB",NA
"63","gadC",63.20606
"64","gadE",NA
"65","gadW",NA
"66","gadX",42.43969
"67","gcl",NA
"68","gdx",NA
"69","ggt",146.4632
"70","glaH",131.387
"71","glcB",151.0454
"72","glgS",111.9638
"73","glsA",169.1856
"74","gmd",NA
"75","gspC",NA
"76","hchA",NA
"77","hdeA",NA
"78","hdeB",NA
"79","hdeD",NA
"80","hdhA",112.2921
"81","hinT",77.71499
"82","idi",NA
"83","ispH",NA
"84","ivy",178.3909
"85","katE",165.1237
"86","kbp",160.5794
"87","kdpC",NA
"88","kefC",NA
"89","kefF",NA
"90","ldcC",180.9775
"91","ldhA",128.3814
"92","ldtA",164.9592
"93","ldtD",99.05204
"94","ldtE",221.778
"95","letB",227.5265
"96","lhgD",142.5129
"97","lpd",222.8445
"98","marC",NA
"99","mazG",166.0005
"100","mcbR",125.9337
"101","menF",142.929
"102","micF",NA
"103","mlrA",211.3631
"104","mltB",NA
"105","mscL",164.7713
"106","msrP",NA
"107","msyB",217.4492
"108","narU",162.1313
"109","narV",NA
"110","narZ",NA
"111","nhaA",165.3378
"112","nhaR",NA
"113","osmB",125.7259
"114","osmC",166.6442
"115","osmE",137.8479
"116","osmF",131.2443
"117","osmY",125.0118
"118","otsA",123.934
"119","otsB",159.4521
"120","panZ",NA
"121","patA",223.9292
"122","patD",203.926
"123","pdeC",NA
"124","pdeG",63.66648
"125","pdeR",NA
"126","pepT",107.4411
"127","pgpB",NA
"128","phnP",NA
"129","phr",118.2463
"130","potF",163.5426
"131","poxB",149.7085
"132","pphA",164.1931
"133","prpR",167.5293
"134","psiE",NA
"135","psiF",120.4395
"136","pyrL",NA
"137","pyrS",NA
"138","qorA",NA
"139","rssA",164.8913
"140","rssB",100.8653
"141","sfsA",95.43054
"142","slp",254.7072
"143","sodC",123.9335
"144","sra",143.2343
"145","talA",164.7815
"146","tam",213.0052
"147","tktB",204.0962
"148","treA",NA
"149","ugpA",NA
"150","ugpB",225.6993
"151","uspB",162.9552
"152","waaC",NA
"153","wecH",NA
"154","wrbA",116.9494
"155","xylA",NA
"156","yaaJ",NA
"157","yacH",NA
"158","yaeR",NA
"159","yafV",NA
"160","yahK",142.8138
"161","yahO",139.6832
"162","yaiA",77.6757
"163","ybaT",194.4199
"164","ybaY",147.8274
"165","ybbY",NA
"166","ybdK",NA
"167","ybeL",154.6327
"168","ybgA",126.3906
"169","ybgS",162.087
"170","ybhB",NA
"171","ybhL",76.91822
"172","ybhN",231.0837
"173","ybhP",165.9605
"174","ybhR",NA
"175","ybjP",115.3546
"176","ycaC",148.7018
"177","ycaP",165.4213
"178","yccJ",143.4418
"179","yccT",NA
"180","yceF",115.5423
"181","ycfH",115.6848
"182","ycgB",116.833
"183","yciE",72.29467
"184","yciG",129.501
"185","ydcJ",226.3663
"186","ydcK",116.3161
"187","ydcS",247.1763
"188","ydcT",280.3668
"189","ydcU",NA
"190","yddH",123.5723
"191","ydeI",133.2593
"192","ydgA",113.5491
"193","ydgD",109.639
"194","ydhL",NA
"195","ydhS",NA
"196","ydiZ",121.9369
"197","yeaG",132.1585
"198","yeaH",138.5374
"199","yeaQ",140.2013
"200","yebF",143.1056
"201","yebV",141.2052
"202","yebW",NA
